assuaging,pacifying
assume,take upon yourself
assumed,implicit
assuming,high and mighty
assumption,idea
assurance,pledge
assure,confirm
assured,poised
assuredly,with conviction
astern,aft
astir,stirring
astonish,take your breath away
astonished,incredulous
astonishing,surprising
astonishingly,surprisingly
astonishment,surprise
astound,daze
astounded,flabbergasted
astounding,astonishing
astoundingly,wonderfully
astral,stellar
astray,off beam
astride,straddling
astringent,harsh
astrologer,mystic
astronomical,astrophysical
astute,wise
astutely,judiciously
astuteness,perspicacity
asylum,safe haven
asymmetrical,lop-sided
asymmetrically,lopsidedly
asymmetry,irregularity
athlete,sportsperson
athletic,powerful
athletically,lithely
athletics,training
Atlas,chart
atmosphere,ambiance
atoll,coral island
atomizer,spray
atone,agreed
atonement,apology
atrium,hall
atrocious,frightful
atrociously,horrifically
atrociousness,evil
atrophied,shrunken
atrophy,wither
attach,glue
attached,emotionally involved
attack,hit
attacker,mugger
attainable,manageable
attainment,success
attar,perfume
attempt,have a crack
attend,concentrate
attendants,followers
attending,attendance
attention,concentration
attention's,romantic behavior
attentive,paying special attention
attentively,thoughtfully
attentiveness,special treatment
attenuate,ease
attenuation,shrinking
attest,confirm
attestation,evidence
attic,garret
attire,clothes
attitude,mind-set
attract,pull towards you
attractive,striking
attractively,beautifully
attractiveness,pull
attribution,credit
attrition,erosion
attune,standardize
attuned,adjusted
atypical,unusual
atypically,uncharacteristically
auburn,red
auction,public sale
audacious,risky
audaciously,daringly
audaciousness,cheek
audacity,courage
audibly,clearly
audience,consultation
audit,check
audition,trial
auditor,examiner
auditorium,audience
auditory,acoustic
augment,enhance
augmentation,expansion
augmented,greater than before
augur,predict
augury,signal
august,dignified
aura,characteristic
aural,audio
auspices,patronage
auspicious,promising
auspiciously,promisingly
austere,serious
austerely,ascetically
austerity,simplicity
authentically,validly
authenticate,confirm
authenticated,above-board
authentication,certification
authenticity,validity
author,instigator
authoritarian,repressive
authoritarianism,totalitarianism
authoritative,commanding
authoritatively,confidently
authoritativeness,dependability
authorities,establishment
authority,power
authorization,consent
authorize,consent to
authorized,endorsed
auto,car
autocracy,dictatorship
autocrat,dictator
autocratic,overbearing
autograph,signature
automatic,involuntary
automatically,involuntarily
automation,computerization
automaton,robot
automobile,vehicle
autonomous,sovereign
autonomously,in competition
autonomy,self-rule
auxiliary,supporting
avail,aim
available,unfilled
avalanche,inundation
avarice,acquisitiveness
avaricious,covetous
avariciously,covetously
avenge,get you back
avenger,righter of wrongs
avenue,chance
aver,state
average,mean
averse,unenthusiastic
aversion,distaste
avert,ward off
averting,prevention
avid,devoted
avidity,hunger
avidly,ardently
avoid,dodge
avoidable,not inevitable
avoidance,forestalling
avow,maintain
avowal,confirmation
avowed,declared
awake,wide awake
awaken,promote
awakening,arousing
award,decision
aware,attentive
awash,flooded
away,gone
awe,fright
awed,overwhelmed
awesome,awe-inspiring
awesomely,crushingly
awestruck,enthralled
awful,appalling
awfulness,direness
awhile,a minute
awkward,difficult to maneuver
awkwardly,clumsily
awkwardness,unease
awl,bit
awning,sun shelter
AWOL,running away
awry,out of kilter
ax,give the chop
axiomatic,goes without saying
axle,axis
azure,indigo
babble,chat
babe,babe-in-arms
baboon,monkey
babyhood,infancy
babyish,puerile
babysit,watch
bachelor,single
back,in trade
backache,bad back
backbiting,infighting
backbreaking,laborious
backdrop,surroundings
backer,sponsor
backfire,boomerang
background,social class
backhanded,sneaky
backing,financial assistance
backlash,hostile response
backpack,rucksack
backpacker,rambler
backpedal,go back on your word
backside,rear
backslide,go back to your old ways
backstage,in secret
backstroke,crawl
backtrack,back down
backup,endorsement
backwater,the middle of nowhere
backwoods,rough country
backyard,patch
bad,terrible
badger,hassle
badlands,wilderness
badly,naughtily
badmouthing,infighting
badness,ruthlessness
bafflement,bewilderment
bagginess,loose cut
baggy,voluminous
bail,surety
bait,temptation
balance,weigh
balcony,upper circle
bald,receding
balderdash,rubbish
balding,receding
baldly,directly
baldness,baldheadedness
baleful,sinister
balk,shy away
ball,globe
ballast,counterweight
balloon,helium balloon
ballooned,overfed
ballpark,approximate
ballpoint,pen
ballyhoo,to-do
balm,relief
balmy,soft
baloney,claptrap
balsam,unguent
balustrade,railing
bamboo,rattan
bamboozle,muddle
bamboozled,confused
bamboozling,baffling
ban,forbid
banality,predictability
bandage,binding
bandanna,hankie
banded,with stripes
bandit,brigand
bane,curse
bangle,bracelet
banish,send away
banishment,expulsion
banister,balustrade
bank,layer
banker,merchant banker
bankroll,finance
bankruptcy,liquidation
banquet,dinner
banshee,spirit
banter,wit
baptism,induction
baptize,identify
bar,slab
barb,cutting remark
barbecue,char-grill
barbed,hurtful
bard,rhymester
barefaced,unashamed
bareness,plainness
barn,shed
barometer,guide
baron,tycoon
baronial,grand
barracks,base
barrage,hail
barren,lonely
barrenness,harshness
barricade,lock up
barter,trade
base,corrupt
baseless,unjustified
basely,squalidly
baseness,ignobleness
bashful,coy
bashfully,diffidently
bashfulness,coyness
basic,important
basically,in the end
basil,herb
basilica,church
basin,hand basin
basis,footing
bask,stretch out
Bass,low
baste,darn
basting,darning
bastion,supporter
bathe,cleanse
bathed,suffused
bathhouse,cabana
bathing,dip
bathmat,doormat
bathos,letdown
bathrobe,wrap
bathtub,tub
baton,wand
battalion,mob
batten,plank
batter,hit
battered,assaulted
battering,rough treatment
battery,array
Battle,movement
battlefield,front line
battleground,field
battlement,barricade
battlements,fortifications
battlement's,parapet
batty,mad
bauble,paste jewelry
bawdy,lewd
bawl,howl
bawling,crying
bayonet,stab
bayou,marsh
bazaar,festival
BB,bit
be,happen
Beach,coastline
beached,aground
beacon,warning
bead,droplet
beak,bill
beaked,curved
beaker,plastic cup
beaming,sunny
bear,put up with
bearable,sufferable
Beard,mustache
bearer,holder
bearing,impact
beastly,ghastly
beater,blender
beatific,virtuous
beatify,canonize
beauticians,hair salon
beautician's,beauty salon
beautification,embossing
beautiful,wonderful
beautify,revamp
becalm,rest
becalmed,at a halt
because,since
beckon,summon
become,be converted into
becoming,apt
bed,floor
bedazzled,bemused
bedbugs,parasites
bedbug's,fleas
bedclothes,comforter
bedding,quilt
bedeck,adorned
bedecked,garlanded
bedlam,mayhem
bedraggled,grubby
bedridden,confined to bed
bedrock,solid rock
bedspread,cover
beefy,well built
beep,toot
beetle,insect
befall,happen
befit,become
befitting,be apt
before,previous to
beforehand,before
befoul,dirty
befriend,help
befuddle,muddle
befuddled,perplexed
beget,create
beggar,tramp
begging,beseeching
begin,commence
beginning,commencement
beginnings,early development
beginning's,early development
begrudge,envy
beguile,enthrall
beguiling,enthralling
beguilingly,enchantingly
behave,perform
behavior,actions
behead,cut off somebody's head
beheld,be alleged
behest,order
behind,in the rear
behold,consider
beholden,in somebody's debt
beige,light brown
being,life
belabor,overstress
belated,delayed
belatedly,slowly
beleaguer,bother
beleaguered,stressed
belie,contradict
believe,judge
believed,said
belittle,decry
belittling,disparagement
Bell,timer
bellicose,aggressive
belligerence,hostility
belligerent,confrontational
belligerently,destructively
bellow,holler
Bell's,chimes
belly,tummy
bellyache,complaint
belong,be in the right place
belongings,personal effects
below,not more than
bemoan,complain about
bemuse,muddle
bemused,bewildered
benchmark,target
bender,splurge
benediction,approval
benefaction,investment
benefactor,supporter
beneficially,constructively
beneficiary,receiver
benefit,subsidy
benefits,repayment
benefit's,profit
benevolence,generosity
benevolent,kindly
benevolently,kindly
benign,compassionate
benignly,kindly
Benton,resolved
bequeath,hand down
bequest,gift
berate,rebuke
bereavement,sadness
berserk,bananas
berth,tie up
beseech,plead
